WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT,LOCATION,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-50,-59,-60,-60,-60,34.13249331,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-50,-59,-60,-60,-60,34.15263304,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-47,-49,-49,-49,-49,34.61676875,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,-50,-52,-53,-53,-55,35.07541923,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f6,-53,-53,-53,-53,-54,35.88248677,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-58,-60,-60,-60,-60,36.14853459,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,-54,-59,-59,-59,-60,35.97725383,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-56,-61,-62,-62,-62,34.5175878,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-56,-61,-62,-62,-62,34.77515319,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:36,-54,-67,-69,-69,-69,34.87181815,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:36,-54,-67,-69,-69,-69,40.60850326,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-57,-61,-61,-61,-62,40.66425387,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f2,-55,-55,-55,-56,-57,40.2193024,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f2,-55,-55,-55,-56,-57,38.89855126,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-55,-57,-57,-57,-57,38.16375464,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-53,-54,-55,-55,-55,35.61193908,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-53,-54,-55,-55,-55,36.57072891,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:a3:26,-57,-57,-57,-57,-60,35.56542442,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:a3:26,-57,-57,-57,-57,-60,31.35272666,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-52,-52,-52,-52,-60,32.59339608,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-52,-52,-52,-54,-55,32.88076418,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-52,-52,-52,-54,-55,33.8296586,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-49,-51,-51,-51,-51,35.0453668,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-50,-53,-53,-53,-53,37.68582377,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-50,-53,-53,-53,-53,39.54125059,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-51,-51,-51,-51,-52,34.85130594,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-51,-51,-51,-51,-52,41.27259384,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-56,-57,-57,-57,-57,41.33847785,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-51,-56,-57,-57,-57,40.66449402,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-51,-56,-57,-57,-57,40.30153981,indoor,
f4:2e:7f:79:98:e5,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:e6,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:24,-53,-55,-55,-67,-67,36.32642637,indoor,
f4:2e:7f:79:98:e5,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:e6,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:24,-53,-55,-55,-67,-67,36.1552135,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-43,-44,-45,-45,-45,36.99044429,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:e3,-39,-39,-39,-39,-42,34.63091175,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:e3,-39,-39,-39,-39,-42,32.16409381,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-54,-57,-57,-57,-57,36.61936017,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-54,-57,-57,-57,-57,42.92541707,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:e3,-53,-53,-53,-53,-60,41.33073893,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:e3,-53,-53,-53,-53,-60,31.25450456,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,-43,-44,-44,-44,-45,51.20978796,indoor,
f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-56,-57,-58,-58,-58,42.07133602,indoor,
f4:2e:7f:79:98:e3,f4:2e:7f:79:98:e5,f4:2e:7f:79:98:e4,f4:2e:7f:79:98:e6,f4:2e:7f:79:98:f3,-54,-54,-55,-55,-58,46.83248593,indoor,
f4:2e:7f:79:98:e3,f4:2e:7f:79:98:e5,f4:2e:7f:79:98:e4,f4:2e:7f:79:98:e6,f4:2e:7f:79:98:f3,-54,-54,-55,-55,-58,49.9896962,indoor,
f4:2e:7f:79:98:e3,f4:2e:7f:79:98:e4,f4:2e:7f:79:98:e5,f4:2e:7f:79:98:e6,f4:2e:7f:79:98:e2,-51,-51,-51,-51,-52,49.1080352,indoor,
f4:2e:7f:79:98:e3,f4:2e:7f:79:98:e4,f4:2e:7f:79:98:e5,f4:2e:7f:79:98:e6,f4:2e:7f:79:98:e2,-51,-51,-51,-51,-52,49.66103855,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-56,-63,-63,-63,-63,43.71683174,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-56,-62,-62,-62,-62,47.47307779,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-57,-57,-57,-57,-60,61.21807004,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-57,-57,-57,-57,-60,61.43076006,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,-59,-66,-66,-67,-67,45.02473956,indoor,
f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:e3,-51,-52,-52,-52,-56,38.10535002,indoor,
f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:e3,-51,-52,-52,-52,-56,34.65674136,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:e3,f4:2e:7f:79:98:e4,f4:2e:7f:79:98:e5,f4:2e:7f:79:98:e6,-52,-53,-53,-53,-53,39.49135215,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:e3,f4:2e:7f:79:98:e4,f4:2e:7f:79:98:e5,f4:2e:7f:79:98:e6,-52,-53,-53,-53,-53,37.86084364,indoor,
f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,-50,-50,-50,-51,-51,36.68901389,indoor,
f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,-50,-50,-50,-51,-51,35.8334397,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-47,-49,-49,-49,-49,35.80913556,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-44,-45,-45,-45,-45,38.23705357,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-44,-45,-45,-45,-45,40.40942805,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f0,-51,-51,-51,-51,-51,39.26816484,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:e3,-62,-62,-62,-62,-62,40.65537927,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:e3,-62,-62,-62,-62,-62,36.31698418,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:98:f4,f4:2e:7f:79:a3:34,-62,-64,-64,-64,-65,40.06238269,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-57,-57,-57,-57,-57,40.45985363,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-57,-57,-57,-57,-57,34.58612191,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-48,-49,-49,-49,-49,40.76530759,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-48,-49,-49,-49,-49,36.62119521,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-52,-52,-52,-55,-56,36.61349942,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f0,-53,-53,-53,-53,-53,38.79030477,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,-57,-76,-76,-82,-83,44.61635508,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,-57,-76,-76,-82,-83,33.65404473,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,-53,-54,-55,-55,-64,70.34770646,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,-53,-54,-55,-55,-64,70.28293823,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-54,-54,-55,-55,-55,57.81373943,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-54,-54,-55,-55,-55,53.57622253,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-59,-59,-59,-60,-63,54.12052522,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-59,-59,-59,-60,-63,45.28745267,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-59,-59,-59,-60,-63,43.75221395,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-59,-59,-59,-60,-63,43.76669743,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-59,-59,-59,-60,-63,43.93010084,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:36,-52,-52,-53,-57,-70,51.30460363,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:36,-52,-52,-53,-57,-70,50.18303656,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-60,-60,-60,-60,-61,50.23880472,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-65,-65,-65,-66,-68,50.03965469,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-65,-65,-65,-66,-68,54.87699758,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-62,-75,-75,-75,-75,60.03435093,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-62,-75,-75,-75,-75,60.09349405,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f6,-60,-64,-65,-65,-65,60.13316115,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f6,-60,-64,-65,-65,-65,45.71815458,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-57,-57,-57,-57,-57,37.41739926,indoor,
f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,-63,-63,-63,-63,-69,30.76166592,indoor,
f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,-63,-63,-63,-63,-69,30.96258946,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-57,-62,-63,-63,-63,31.01701823,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:a3:26,-55,-58,-58,-58,-65,30.70994974,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-58,-63,-68,-68,-68,29.50269577,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-58,-63,-68,-68,-68,32.67873404,indoor,
f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,-59,-60,-60,-60,-60,32.79066424,indoor,
f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,-59,-60,-60,-60,-60,32.68671202,indoor,
f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-58,-58,-59,-59,-59,32.76588579,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:26,-56,-60,-61,-61,-62,36.5345847,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:26,-56,-60,-61,-61,-62,36.52689238,indoor,
f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,-55,-55,-55,-55,-55,36.6103703,indoor,
f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,-55,-55,-55,-55,-55,37.35436401,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f0,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,-54,-55,-57,-57,-58,35.02151613,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f0,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,-54,-55,-57,-57,-58,34.92401594,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-54,-55,-55,-56,-56,34.89444183,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-58,-62,-62,-62,-62,37.36990291,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-58,-62,-62,-62,-62,41.93663695,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-53,-53,-54,-54,-54,114.7371444,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,-54,-59,-59,-59,-59,114.8684242,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,-54,-59,-59,-59,-59,114.9203783,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-55,-56,-56,-56,-56,114.797831,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-55,-56,-56,-56,-56,114.8132357,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-56,-57,-57,-57,-57,114.8072944,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:a3:26,-55,-55,-55,-55,-59,36.23754669,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-50,-51,-51,-52,-52,35.71982822,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-50,-51,-51,-52,-52,34.58430596,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,-50,-50,-51,-51,-61,34.31588312,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,-50,-50,-51,-51,-61,40.21592872,indoor,
